epsilon1 epsilon2 fB
-0.145 3.101 0.20
-0.145 3.141 0.20
-0.145 3.182 0.20
-0.145 3.222 0.20
-0.145 3.263 0.20
-0.145 3.303 0.20
-0.145 3.343 0.20
-0.145 3.384 0.20
-0.145 3.424 0.20
-0.145 3.465 0.20
-0.145 3.505 0.20
-0.145 3.545 0.20
-0.145 3.586 0.20
-0.145 3.626 0.20
-0.145 3.667 0.20
-0.145 3.707 0.20
-0.145 3.747 0.20
-0.145 3.788 0.20
-0.145 3.828 0.20
-0.145 3.869 0.20
-0.145 3.909 0.20
-0.145 3.949 0.20
-0.145 3.990 0.20
-0.145 4.030 0.20
-0.145 4.071 0.20
-0.145 4.111 0.20
-0.145 4.152 0.20
-0.145 4.192 0.20
-0.145 4.232 0.20
-0.145 4.273 0.20
-0.145 4.313 0.20
-0.145 4.354 0.20
-0.145 4.394 0.20
-0.145 4.434 0.20
-0.145 4.475 0.20
-0.145 4.515 0.20
-0.145 4.556 0.20
-0.145 4.596 0.20
-0.145 4.636 0.20
-0.145 4.677 0.20
-0.145 4.717 0.20
-0.145 4.758 0.20
-0.145 4.798 0.20
-0.145 4.838 0.20
-0.145 4.879 0.20
-0.145 4.919 0.20
-0.145 4.960 0.20
-0.145 5.000 0.20
-0.136 1.000 0.20
-0.136 1.040 0.20
-0.136 1.081 0.20
-0.136 1.121 0.20
-0.136 1.162 0.20
-0.136 1.202 0.20
-0.136 1.242 0.20
-0.136 1.283 0.20
-0.136 1.323 0.20
-0.136 1.364 0.20
-0.136 1.404 0.20
-0.136 1.444 0.20
-0.136 1.485 0.20
-0.136 1.525 0.20
-0.136 1.566 0.20
-0.136 1.606 0.20
-0.136 1.646 0.20
-0.136 1.687 0.20
-0.136 1.727 0.20
-0.136 1.768 0.20
-0.136 1.808 0.20
-0.136 1.848 0.20
-0.136 1.889 0.20
-0.136 1.929 0.20
-0.136 1.970 0.20
-0.136 2.010 0.20
-0.136 2.051 0.20
-0.136 2.091 0.20
-0.136 2.131 0.20
-0.136 2.172 0.20
-0.136 2.212 0.20
-0.136 2.253 0.20
-0.136 2.293 0.20
-0.136 2.333 0.20
-0.136 2.374 0.20
-0.136 2.414 0.20
-0.136 2.455 0.20
-0.136 2.495 0.20
-0.136 2.535 0.20
-0.136 2.576 0.20
-0.136 2.616 0.20
-0.136 2.657 0.20
-0.136 2.697 0.20
-0.136 2.737 0.20
-0.136 2.778 0.20
-0.136 2.818 0.20
-0.136 2.859 0.20
-0.136 2.899 0.20
-0.136 2.939 0.20
-0.136 2.980 0.20
-0.136 3.020 0.20
-0.136 3.061 0.20
-0.136 3.101 0.20
-0.136 3.141 0.20
-0.136 3.182 0.20
-0.136 3.222 0.20
-0.136 3.263 0.20
-0.136 3.303 0.20
-0.136 3.343 0.20
-0.136 3.384 0.20
-0.136 3.424 0.20
-0.136 3.465 0.20
-0.136 3.505 0.20
-0.136 3.545 0.20
-0.136 3.586 0.20
-0.136 3.626 0.20
-0.136 3.667 0.20
-0.136 3.707 0.20
-0.136 3.747 0.20
-0.136 3.788 0.20
-0.136 3.828 0.20
-0.136 3.869 0.20
-0.136 3.909 0.20
-0.136 3.949 0.20
-0.136 3.990 0.20
-0.136 4.030 0.20
-0.136 4.071 0.20
-0.136 4.111 0.20
-0.136 4.152 0.20
-0.136 4.192 0.20
-0.136 4.232 0.20
-0.136 4.273 0.20
-0.136 4.313 0.20
-0.136 4.354 0.20
-0.136 4.394 0.20
-0.136 4.434 0.20
-0.136 4.475 0.20
-0.136 4.515 0.20
-0.136 4.556 0.20
-0.136 4.596 0.20
-0.136 4.636 0.20
-0.136 4.677 0.20
-0.136 4.717 0.20
-0.136 4.758 0.20
-0.136 4.798 0.20
-0.136 4.838 0.20
-0.136 4.879 0.20
-0.136 4.919 0.20
-0.136 4.960 0.20
-0.136 5.000 0.20
-0.127 1.000 0.20
-0.127 1.040 0.20
-0.127 1.081 0.20
-0.127 1.121 0.20
-0.127 1.162 0.20
-0.127 1.202 0.20
-0.127 1.242 0.20
-0.127 1.283 0.20
-0.127 1.323 0.20
-0.127 1.364 0.20
-0.127 1.404 0.20
-0.127 1.444 0.20
-0.127 1.485 0.20
-0.127 1.525 0.20
-0.127 1.566 0.20
-0.127 1.606 0.20
-0.127 1.646 0.20
-0.127 1.687 0.20
-0.127 1.727 0.20
-0.127 1.768 0.20
-0.127 1.808 0.20
-0.127 1.848 0.20
-0.127 1.889 0.20
-0.127 1.929 0.20
-0.127 1.970 0.20
-0.127 2.010 0.20
-0.127 2.051 0.20
-0.127 2.091 0.20
-0.127 2.131 0.20
-0.127 2.172 0.20
-0.127 2.212 0.20
-0.127 2.253 0.20
-0.127 2.293 0.20
-0.127 2.333 0.20
-0.127 2.374 0.20
-0.127 2.414 0.20
-0.127 2.455 0.20
-0.127 2.495 0.20
-0.127 2.535 0.20
-0.127 2.576 0.20
-0.127 2.616 0.20
-0.127 2.657 0.20
-0.127 2.697 0.20
-0.127 2.737 0.20
-0.127 2.778 0.20
-0.127 2.818 0.20
-0.127 2.859 0.20
-0.127 2.899 0.20
-0.127 2.939 0.20
-0.127 2.980 0.20
-0.127 3.020 0.20
-0.127 3.061 0.20
-0.127 3.101 0.20
-0.127 3.141 0.20
-0.127 3.182 0.20
-0.127 3.222 0.20
-0.127 3.263 0.20
-0.127 3.303 0.20
-0.127 3.343 0.20
-0.127 3.384 0.20
-0.127 3.424 0.20
-0.127 3.465 0.20
-0.127 3.505 0.20
-0.127 3.545 0.20
-0.127 3.586 0.20
-0.127 3.626 0.20
-0.127 3.667 0.20
-0.127 3.707 0.20
-0.127 3.747 0.20
-0.127 3.788 0.20
-0.127 3.828 0.20
-0.127 3.869 0.20
-0.127 3.909 0.20
-0.127 3.949 0.20
-0.127 3.990 0.20
-0.127 4.030 0.20
-0.127 4.071 0.20
-0.127 4.111 0.20
-0.127 4.152 0.20
-0.127 4.192 0.20
-0.127 4.232 0.20
-0.127 4.273 0.20
-0.127 4.313 0.20
-0.127 4.354 0.20
-0.127 4.394 0.20
-0.127 4.434 0.20
-0.127 4.475 0.20
-0.127 4.515 0.20
-0.127 4.556 0.20
-0.127 4.596 0.20
-0.127 4.636 0.20
-0.127 4.677 0.20
-0.127 4.717 0.20
-0.127 4.758 0.20
-0.127 4.798 0.20
-0.127 4.838 0.20
-0.127 4.879 0.20
-0.127 4.919 0.20
-0.127 4.960 0.20
-0.127 5.000 0.20
-0.118 1.000 0.20
-0.118 1.040 0.20
-0.118 1.081 0.20
-0.118 1.121 0.20
-0.118 1.162 0.20
-0.118 1.202 0.20
-0.118 1.242 0.20
-0.118 1.283 0.20
-0.118 1.323 0.20
-0.118 1.364 0.20
-0.118 1.404 0.20
-0.118 1.444 0.20
-0.118 1.485 0.20
-0.118 1.525 0.20
-0.118 1.566 0.20
-0.118 1.606 0.20
-0.118 1.646 0.20
-0.118 1.687 0.20
-0.118 1.727 0.20
-0.118 1.768 0.20
-0.118 1.808 0.20
-0.118 1.848 0.20
-0.118 1.889 0.20
-0.118 1.929 0.20
-0.118 1.970 0.20
-0.118 2.010 0.20
-0.118 2.051 0.20
-0.118 2.091 0.20
-0.118 2.131 0.20
-0.118 2.172 0.20
-0.118 2.212 0.20
-0.118 2.253 0.20
-0.118 2.293 0.20
-0.118 2.333 0.20
-0.118 2.374 0.20
-0.118 2.414 0.20
-0.118 2.455 0.20
-0.118 2.495 0.20
-0.118 2.535 0.20
-0.118 2.576 0.20
-0.118 2.616 0.20
-0.118 2.657 0.20
-0.118 2.697 0.20
-0.118 2.737 0.20
-0.118 2.778 0.20
-0.118 2.818 0.20
-0.118 2.859 0.20
-0.118 2.899 0.20
-0.118 2.939 0.20
-0.118 2.980 0.20
-0.118 3.020 0.20
-0.118 3.061 0.20
-0.118 3.101 0.20
-0.118 3.141 0.20
-0.118 3.182 0.20
-0.118 3.222 0.20
-0.118 3.263 0.20
-0.118 3.303 0.20
-0.118 3.343 0.20
-0.118 3.384 0.20
-0.118 3.424 0.20
-0.118 3.465 0.20
-0.118 3.505 0.20
-0.118 3.545 0.20
-0.118 3.586 0.20
-0.118 3.626 0.20
-0.118 3.667 0.20
-0.118 3.707 0.20
-0.118 3.747 0.20
-0.118 3.788 0.20
-0.118 3.828 0.20
-0.118 3.869 0.20
-0.118 3.909 0.20
-0.118 3.949 0.20
-0.118 3.990 0.20
-0.118 4.030 0.20
-0.118 4.071 0.20
-0.118 4.111 0.20
-0.118 4.152 0.20
-0.118 4.192 0.20
-0.118 4.232 0.20
-0.118 4.273 0.20
-0.118 4.313 0.20
-0.118 4.354 0.20
-0.118 4.394 0.20
-0.118 4.434 0.20
-0.118 4.475 0.20
-0.118 4.515 0.20
-0.118 4.556 0.20
-0.118 4.596 0.20
-0.118 4.636 0.20
-0.118 4.677 0.20
-0.118 4.717 0.20
-0.118 4.758 0.20
-0.118 4.798 0.20
-0.118 4.838 0.20
-0.118 4.879 0.20
-0.118 4.919 0.20
-0.118 4.960 0.20
-0.118 5.000 0.20
-0.109 1.000 0.20
-0.109 1.040 0.20
-0.109 1.081 0.20
-0.109 1.121 0.20
-0.109 1.162 0.20
-0.109 1.202 0.20
-0.109 1.242 0.20
-0.109 1.283 0.20
-0.109 1.323 0.20
-0.109 1.364 0.20
-0.109 1.404 0.20
-0.109 1.444 0.20
-0.109 1.485 0.20
-0.109 1.525 0.20
-0.109 1.566 0.20
-0.109 1.606 0.20
-0.109 1.646 0.20
-0.109 1.687 0.20
-0.109 1.727 0.20
-0.109 1.768 0.20
-0.109 1.808 0.20
-0.109 1.848 0.20
-0.109 1.889 0.20
-0.109 1.929 0.20
-0.109 1.970 0.20
-0.109 2.010 0.20
-0.109 2.051 0.20
-0.109 2.091 0.20
-0.109 2.131 0.20
-0.109 2.172 0.20
-0.109 2.212 0.20
-0.109 2.253 0.20
-0.109 2.293 0.20
-0.109 2.333 0.20
-0.109 2.374 0.20
-0.109 2.414 0.20
-0.109 2.455 0.20
-0.109 2.495 0.20
-0.109 2.535 0.20
-0.109 2.576 0.20
-0.109 2.616 0.20
-0.109 2.657 0.20
-0.109 2.697 0.20
-0.109 2.737 0.20
-0.109 2.778 0.20
-0.109 2.818 0.20
-0.109 2.859 0.20
-0.109 2.899 0.20
-0.109 2.939 0.20
-0.109 2.980 0.20
-0.109 3.020 0.20
-0.109 3.061 0.20
-0.109 3.101 0.20
-0.109 3.141 0.20
-0.109 3.182 0.20
-0.109 3.222 0.20
-0.109 3.263 0.20
-0.109 3.303 0.20
-0.109 3.343 0.20
-0.109 3.384 0.20
-0.109 3.424 0.20
-0.109 3.465 0.20
-0.109 3.505 0.20
-0.109 3.545 0.20
-0.109 3.586 0.20
-0.109 3.626 0.20
-0.109 3.667 0.20
-0.109 3.707 0.20
-0.109 3.747 0.20
-0.109 3.788 0.20
-0.109 3.828 0.20
-0.109 3.869 0.20
-0.109 3.909 0.20
-0.109 3.949 0.20
-0.109 3.990 0.20
-0.109 4.030 0.20
-0.109 4.071 0.20
-0.109 4.111 0.20
-0.109 4.152 0.20
-0.109 4.192 0.20
-0.109 4.232 0.20
-0.109 4.273 0.20
-0.109 4.313 0.20
-0.109 4.354 0.20
-0.109 4.394 0.20
-0.109 4.434 0.20
-0.109 4.475 0.20
-0.109 4.515 0.20
-0.109 4.556 0.20
-0.109 4.596 0.20
-0.109 4.636 0.20
-0.109 4.677 0.20
-0.109 4.717 0.20
-0.109 4.758 0.20
-0.109 4.798 0.20
-0.109 4.838 0.20
-0.109 4.879 0.20
-0.109 4.919 0.20
-0.109 4.960 0.20
-0.109 5.000 0.20
-0.100 1.000 0.20
-0.100 1.040 0.20
-0.100 1.081 0.20
-0.100 1.121 0.20
-0.100 1.162 0.20
-0.100 1.202 0.20
-0.100 1.242 0.20
-0.100 1.283 0.20
-0.100 1.323 0.20
-0.100 1.364 0.20
-0.100 1.404 0.20
-0.100 1.444 0.20
-0.100 1.485 0.20
-0.100 1.525 0.20
-0.100 1.566 0.20
-0.100 1.606 0.20
-0.100 1.646 0.20
-0.100 1.687 0.20
-0.100 1.727 0.20
-0.100 1.768 0.20
-0.100 1.808 0.20
-0.100 1.848 0.20
-0.100 1.889 0.20
-0.100 1.929 0.20
-0.100 1.970 0.20
-0.100 2.010 0.20
-0.100 2.051 0.20
-0.100 2.091 0.20
-0.100 2.131 0.20
-0.100 2.172 0.20
-0.100 2.212 0.20
-0.100 2.253 0.20
-0.100 2.293 0.20
-0.100 2.333 0.20
-0.100 2.374 0.20
-0.100 2.414 0.20
-0.100 2.455 0.20
-0.100 2.495 0.20
-0.100 2.535 0.20
-0.100 2.576 0.20
-0.100 2.616 0.20
-0.100 2.657 0.20
-0.100 2.697 0.20
-0.100 2.737 0.20
-0.100 2.778 0.20
-0.100 2.818 0.20
-0.100 2.859 0.20
-0.100 2.899 0.20
-0.100 2.939 0.20
-0.100 2.980 0.20
-0.100 3.020 0.20
-0.100 3.061 0.20
-0.100 3.101 0.20
-0.100 3.141 0.20
-0.100 3.182 0.20
-0.100 3.222 0.20
-0.100 3.263 0.20
-0.100 3.303 0.20
-0.100 3.343 0.20
-0.100 3.384 0.20
-0.100 3.424 0.20
-0.100 3.465 0.20
-0.100 3.505 0.20
-0.100 3.545 0.20
-0.100 3.586 0.20
-0.100 3.626 0.20
-0.100 3.667 0.20
-0.100 3.707 0.20
-0.100 3.747 0.20
-0.100 3.788 0.20
-0.100 3.828 0.20
-0.100 3.869 0.20
-0.100 3.909 0.20
-0.100 3.949 0.20
-0.100 3.990 0.20
-0.100 4.030 0.20
-0.100 4.071 0.20
-0.100 4.111 0.20
-0.100 4.152 0.20
-0.100 4.192 0.20
-0.100 4.232 0.20
-0.100 4.273 0.20
-0.100 4.313 0.20
-0.100 4.354 0.20
-0.100 4.394 0.20
-0.100 4.434 0.20
-0.100 4.475 0.20
-0.100 4.515 0.20
-0.100 4.556 0.20
-0.100 4.596 0.20
-0.100 4.636 0.20
-0.100 4.677 0.20
-0.100 4.717 0.20
-0.100 4.758 0.20
-0.100 4.798 0.20
-0.100 4.838 0.20
-0.100 4.879 0.20
-0.100 4.919 0.20
-0.100 4.960 0.20
-0.100 5.000 0.20
-0.091 1.000 0.20
-0.091 1.040 0.20
-0.091 1.081 0.20
-0.091 1.121 0.20
-0.091 1.162 0.20
-0.091 1.202 0.20
-0.091 1.242 0.20
-0.091 1.283 0.20
-0.091 1.323 0.20
-0.091 1.364 0.20
-0.091 1.404 0.20
-0.091 1.444 0.20
-0.091 1.485 0.20
-0.091 1.525 0.20
-0.091 1.566 0.20
-0.091 1.606 0.20
-0.091 1.646 0.20
-0.091 1.687 0.20
-0.091 1.727 0.20
-0.091 1.768 0.20
-0.091 1.808 0.20
-0.091 1.848 0.20
-0.091 1.889 0.20
-0.091 1.929 0.20
-0.091 1.970 0.20
-0.091 2.010 0.20
-0.091 2.051 0.20
-0.091 2.091 0.20
-0.091 2.131 0.20
-0.091 2.172 0.20
-0.091 2.212 0.20
-0.091 2.253 0.20
-0.091 2.293 0.20
-0.091 2.333 0.20
-0.091 2.374 0.20
-0.091 2.414 0.20
-0.091 2.455 0.20
-0.091 2.495 0.20
-0.091 2.535 0.20
-0.091 2.576 0.20
-0.091 2.616 0.20
-0.091 2.657 0.20
-0.091 2.697 0.20
-0.091 2.737 0.20
-0.091 2.778 0.20
-0.091 2.818 0.20
-0.091 2.859 0.20
-0.091 2.899 0.20
-0.091 2.939 0.20
-0.091 2.980 0.20
-0.091 3.020 0.20
-0.091 3.061 0.20
-0.091 3.101 0.20
-0.091 3.141 0.20
-0.091 3.182 0.20
-0.091 3.222 0.20
-0.091 3.263 0.20
-0.091 3.303 0.20
-0.091 3.343 0.20
-0.091 3.384 0.20
-0.091 3.424 0.20
-0.091 3.465 0.20
-0.091 3.505 0.20
-0.091 3.545 0.20
-0.091 3.586 0.20
-0.091 3.626 0.20
-0.091 3.667 0.20
-0.091 3.707 0.20
-0.091 3.747 0.20
-0.091 3.788 0.20
-0.091 3.828 0.20
-0.091 3.869 0.20
-0.091 3.909 0.20
-0.091 3.949 0.20
-0.091 3.990 0.20
-0.091 4.030 0.20
-0.091 4.071 0.20
-0.091 4.111 0.20
-0.091 4.152 0.20
-0.091 4.192 0.20
-0.091 4.232 0.20
-0.091 4.273 0.20
-0.091 4.313 0.20
-0.091 4.354 0.20
-0.091 4.394 0.20
-0.091 4.434 0.20
-0.091 4.475 0.20
-0.091 4.515 0.20
-0.091 4.556 0.20
-0.091 4.596 0.20
-0.091 4.636 0.20
-0.091 4.677 0.20
-0.091 4.717 0.20
-0.091 4.758 0.20
-0.091 4.798 0.20
-0.091 4.838 0.20
-0.091 4.879 0.20
-0.091 4.919 0.20
-0.091 4.960 0.20
-0.091 5.000 0.20
-0.082 1.000 0.20
-0.082 1.040 0.20
-0.082 1.081 0.20
-0.082 1.121 0.20
-0.082 1.162 0.20
-0.082 1.202 0.20
-0.082 1.242 0.20
-0.082 1.283 0.20
-0.082 1.323 0.20
-0.082 1.364 0.20
-0.082 1.404 0.20
-0.082 1.444 0.20
-0.082 1.485 0.20
-0.082 1.525 0.20
-0.082 1.566 0.20
-0.082 1.606 0.20
-0.082 1.646 0.20
-0.082 1.687 0.20
-0.082 1.727 0.20
-0.082 1.768 0.20
-0.082 1.808 0.20
-0.082 1.848 0.20
-0.082 1.889 0.20
-0.082 1.929 0.20
-0.082 1.970 0.20
-0.082 2.010 0.20
-0.082 2.051 0.20
-0.082 2.091 0.20
-0.082 2.131 0.20
-0.082 2.172 0.20
-0.082 2.212 0.20
-0.082 2.253 0.20
-0.082 2.293 0.20
-0.082 2.333 0.20
-0.082 2.374 0.20
-0.082 2.414 0.20
-0.082 2.455 0.20
-0.082 2.495 0.20
-0.082 2.535 0.20
-0.082 2.576 0.20
-0.082 2.616 0.20
-0.082 2.657 0.20
-0.082 2.697 0.20
-0.082 2.737 0.20
-0.082 2.778 0.20
-0.082 2.818 0.20
-0.082 2.859 0.20
-0.082 2.899 0.20
-0.082 2.939 0.20
-0.082 2.980 0.20
-0.082 3.020 0.20
-0.082 3.061 0.20
-0.082 3.101 0.20
-0.082 3.141 0.20
-0.082 3.182 0.20
-0.082 3.222 0.20
-0.082 3.263 0.20
-0.082 3.303 0.20
-0.082 3.343 0.20
-0.082 3.384 0.20
-0.082 3.424 0.20
-0.082 3.465 0.20
-0.082 3.505 0.20
-0.082 3.545 0.20
-0.082 3.586 0.20
-0.082 3.626 0.20
-0.082 3.667 0.20
-0.082 3.707 0.20
-0.082 3.747 0.20
-0.082 3.788 0.20
-0.082 3.828 0.20
-0.082 3.869 0.20
-0.082 3.909 0.20
-0.082 3.949 0.20
-0.082 3.990 0.20
-0.082 4.030 0.20
-0.082 4.071 0.20
-0.082 4.111 0.20
-0.082 4.152 0.20
-0.082 4.192 0.20
-0.082 4.232 0.20
-0.082 4.273 0.20
-0.082 4.313 0.20
-0.082 4.354 0.20
-0.082 4.394 0.20
-0.082 4.434 0.20
-0.082 4.475 0.20
-0.082 4.515 0.20
-0.082 4.556 0.20
-0.082 4.596 0.20
-0.082 4.636 0.20
-0.082 4.677 0.20
-0.082 4.717 0.20
-0.082 4.758 0.20
-0.082 4.798 0.20
-0.082 4.838 0.20
-0.082 4.879 0.20
-0.082 4.919 0.20
-0.082 4.960 0.20
-0.082 5.000 0.20
-0.073 1.000 0.20
-0.073 1.040 0.20
-0.073 1.081 0.20
-0.073 1.121 0.20
-0.073 1.162 0.20
-0.073 1.202 0.20
-0.073 1.242 0.20
-0.073 1.283 0.20
-0.073 1.323 0.20
-0.073 1.364 0.20
-0.073 1.404 0.20
-0.073 1.444 0.20
-0.073 1.485 0.20
-0.073 1.525 0.20
-0.073 1.566 0.20
-0.073 1.606 0.20
-0.073 1.646 0.20
-0.073 1.687 0.20
-0.073 1.727 0.20
-0.073 1.768 0.20
-0.073 1.808 0.20
-0.073 1.848 0.20
-0.073 1.889 0.20
-0.073 1.929 0.20
-0.073 1.970 0.20
-0.073 2.010 0.20
-0.073 2.051 0.20
-0.073 2.091 0.20
-0.073 2.131 0.20
-0.073 2.172 0.20
-0.073 2.212 0.20
-0.073 2.253 0.20
-0.073 2.293 0.20
-0.073 2.333 0.20
-0.073 2.374 0.20
-0.073 2.414 0.20
-0.073 2.455 0.20
-0.073 2.495 0.20
-0.073 2.535 0.20
-0.073 2.576 0.20
-0.073 2.616 0.20
-0.073 2.657 0.20
-0.073 2.697 0.20
-0.073 2.737 0.20
-0.073 2.778 0.20
-0.073 2.818 0.20
-0.073 2.859 0.20
-0.073 2.899 0.20
-0.073 2.939 0.20
-0.073 2.980 0.20
-0.073 3.020 0.20
-0.073 3.061 0.20
-0.073 3.101 0.20
-0.073 3.141 0.20
-0.073 3.182 0.20
-0.073 3.222 0.20
-0.073 3.263 0.20
-0.073 3.303 0.20
-0.073 3.343 0.20
-0.073 3.384 0.20
-0.073 3.424 0.20
-0.073 3.465 0.20
-0.073 3.505 0.20
-0.073 3.545 0.20
-0.073 3.586 0.20
-0.073 3.626 0.20
-0.073 3.667 0.20
-0.073 3.707 0.20
-0.073 3.747 0.20
-0.073 3.788 0.20
-0.073 3.828 0.20
-0.073 3.869 0.20
-0.073 3.909 0.20
-0.073 3.949 0.20
-0.073 3.990 0.20
-0.073 4.030 0.20
-0.073 4.071 0.20
-0.073 4.111 0.20
-0.073 4.152 0.20
-0.073 4.192 0.20
-0.073 4.232 0.20
-0.073 4.273 0.20
-0.073 4.313 0.20
-0.073 4.354 0.20
-0.073 4.394 0.20
-0.073 4.434 0.20
-0.073 4.475 0.20
-0.073 4.515 0.20
-0.073 4.556 0.20
-0.073 4.596 0.20
-0.073 4.636 0.20
-0.073 4.677 0.20
-0.073 4.717 0.20
-0.073 4.758 0.20
-0.073 4.798 0.20
-0.073 4.838 0.20
-0.073 4.879 0.20
-0.073 4.919 0.20
-0.073 4.960 0.20
-0.073 5.000 0.20
-0.064 1.000 0.20
-0.064 1.040 0.20
-0.064 1.081 0.20
-0.064 1.121 0.20
-0.064 1.162 0.20
-0.064 1.202 0.20
-0.064 1.242 0.20
-0.064 1.283 0.20
-0.064 1.323 0.20
-0.064 1.364 0.20
-0.064 1.404 0.20
-0.064 1.444 0.20
-0.064 1.485 0.20
-0.064 1.525 0.20
-0.064 1.566 0.20
-0.064 1.606 0.20
-0.064 1.646 0.20
-0.064 1.687 0.20
-0.064 1.727 0.20
-0.064 1.768 0.20
-0.064 1.808 0.20
-0.064 1.848 0.20
-0.064 1.889 0.20
-0.064 1.929 0.20
-0.064 1.970 0.20
-0.064 2.010 0.20
-0.064 2.051 0.20
-0.064 2.091 0.20
-0.064 2.131 0.20
-0.064 2.172 0.20
-0.064 2.212 0.20
-0.064 2.253 0.20
-0.064 2.293 0.20
-0.064 2.333 0.20
-0.064 2.374 0.20
-0.064 2.414 0.20
-0.064 2.455 0.20
-0.064 2.495 0.20
-0.064 2.535 0.20
-0.064 2.576 0.20
-0.064 2.616 0.20
-0.064 2.657 0.20
-0.064 2.697 0.20
-0.064 2.737 0.20
-0.064 2.778 0.20
-0.064 2.818 0.20
-0.064 2.859 0.20
-0.064 2.899 0.20
-0.064 2.939 0.20
-0.064 2.980 0.20
-0.064 3.020 0.20
-0.064 3.061 0.20
-0.064 3.101 0.20
-0.064 3.141 0.20
-0.064 3.182 0.20
-0.064 3.222 0.20
-0.064 3.263 0.20
-0.064 3.303 0.20
-0.064 3.343 0.20
-0.064 3.384 0.20
-0.064 3.424 0.20
-0.064 3.465 0.20
-0.064 3.505 0.20
-0.064 3.545 0.20
-0.064 3.586 0.20
-0.064 3.626 0.20
-0.064 3.667 0.20
-0.064 3.707 0.20
-0.064 3.747 0.20
-0.064 3.788 0.20
-0.064 3.828 0.20
-0.064 3.869 0.20
-0.064 3.909 0.20
-0.064 3.949 0.20
-0.064 3.990 0.20
-0.064 4.030 0.20
-0.064 4.071 0.20
-0.064 4.111 0.20
-0.064 4.152 0.20
-0.064 4.192 0.20
-0.064 4.232 0.20
-0.064 4.273 0.20
-0.064 4.313 0.20
-0.064 4.354 0.20
-0.064 4.394 0.20
-0.064 4.434 0.20
-0.064 4.475 0.20
-0.064 4.515 0.20
-0.064 4.556 0.20
-0.064 4.596 0.20
-0.064 4.636 0.20
-0.064 4.677 0.20
-0.064 4.717 0.20
-0.064 4.758 0.20
-0.064 4.798 0.20
-0.064 4.838 0.20
-0.064 4.879 0.20
-0.064 4.919 0.20
-0.064 4.960 0.20
-0.064 5.000 0.20
-0.055 1.000 0.20
-0.055 1.040 0.20
-0.055 1.081 0.20
-0.055 1.121 0.20
-0.055 1.162 0.20
-0.055 1.202 0.20
-0.055 1.242 0.20
-0.055 1.283 0.20
-0.055 1.323 0.20
-0.055 1.364 0.20
-0.055 1.404 0.20
-0.055 1.444 0.20
-0.055 1.485 0.20
-0.055 1.525 0.20
-0.055 1.566 0.20
-0.055 1.606 0.20
-0.055 1.646 0.20
-0.055 1.687 0.20
-0.055 1.727 0.20
-0.055 1.768 0.20
-0.055 1.808 0.20
-0.055 1.848 0.20
-0.055 1.889 0.20
-0.055 1.929 0.20
-0.055 1.970 0.20
-0.055 2.010 0.20
-0.055 2.051 0.20
-0.055 2.091 0.20
-0.055 2.131 0.20
-0.055 2.172 0.20
-0.055 2.212 0.20
-0.055 2.253 0.20
-0.055 2.293 0.20
-0.055 2.333 0.20
-0.055 2.374 0.20
-0.055 2.414 0.20
-0.055 2.455 0.20
-0.055 2.495 0.20
-0.055 2.535 0.20
-0.055 2.576 0.20
-0.055 2.616 0.20
-0.055 2.657 0.20
-0.055 2.697 0.20
-0.055 2.737 0.20
-0.055 2.778 0.20
-0.055 2.818 0.20
-0.055 2.859 0.20
-0.055 2.899 0.20
-0.055 2.939 0.20
-0.055 2.980 0.20
-0.055 3.020 0.20
-0.055 3.061 0.20
-0.055 3.101 0.20
-0.055 3.141 0.20
-0.055 3.182 0.20
-0.055 3.222 0.20
-0.055 3.263 0.20
-0.055 3.303 0.20
-0.055 3.343 0.20
-0.055 3.384 0.20
-0.055 3.424 0.20
-0.055 3.465 0.20
-0.055 3.505 0.20
-0.055 3.545 0.20
-0.055 3.586 0.20
-0.055 3.626 0.20
-0.055 3.667 0.20
-0.055 3.707 0.20
-0.055 3.747 0.20
-0.055 3.788 0.20
-0.055 3.828 0.20
-0.055 3.869 0.20
-0.055 3.909 0.20
-0.055 3.949 0.20
-0.055 3.990 0.20
-0.055 4.030 0.20
-0.055 4.071 0.20
-0.055 4.111 0.20
-0.055 4.152 0.20
-0.055 4.192 0.20
-0.055 4.232 0.20
-0.055 4.273 0.20
-0.055 4.313 0.20
-0.055 4.354 0.20
-0.055 4.394 0.20
-0.055 4.434 0.20
-0.055 4.475 0.20
-0.055 4.515 0.20
-0.055 4.556 0.20
-0.055 4.596 0.20
-0.055 4.636 0.20
-0.055 4.677 0.20
-0.055 4.717 0.20
-0.055 4.758 0.20
-0.055 4.798 0.20
-0.055 4.838 0.20
-0.055 4.879 0.20
-0.055 4.919 0.20
-0.055 4.960 0.20
-0.055 5.000 0.20
-0.045 1.000 0.20
-0.045 1.040 0.20
-0.045 1.081 0.20
-0.045 1.121 0.20
-0.045 1.162 0.20
-0.045 1.202 0.20
-0.045 1.242 0.20
-0.045 1.283 0.20
-0.045 1.323 0.20
-0.045 1.364 0.20
-0.045 1.404 0.20
-0.045 1.444 0.20
-0.045 1.485 0.20
-0.045 1.525 0.20
-0.045 1.566 0.20
-0.045 1.606 0.20
-0.045 1.646 0.20
-0.045 1.687 0.20
-0.045 1.727 0.20
-0.045 1.768 0.20
-0.045 1.808 0.20
-0.045 1.848 0.20
-0.045 1.889 0.20
-0.045 1.929 0.20
-0.045 1.970 0.20
-0.045 2.010 0.20
-0.045 2.051 0.20
